ID,Title,Topic,Difficulty,Source,Last Updated,Problem Description,Examples,Approaches Count,Code Solutions,Full Content,Is Processed
11,Longest Substring Without Repeating Characters,String,Unknown,GeeksforGeeks,"04 Aug, 2025","Given a stringshavinglowercasecharacters, find the length of the longest substring without repeating characters.","Input: s = ""geeksforgeeks""Output: 7Explanation: The longest substrings without repeating characters are ""eksforg” and ""ksforge"", with lengths of 7.Input: s = ""aaa""Output: 1Explanation: The longest substring without repeating characters is ""a""Input:s = ""abcdefabcbb""Output:6Explanation:The longest substring without repeating characters is ""abcdef"".",30,"#include<iostream>#include<vector>usingnamespacestd;intlongestUniqueSubstr(string&s){intn=s.size();intres=0;for(inti=0;i<n;i++){// Initializing all characters as not visitedvector<bool>vis(26,false);f","Given a stringshavinglowercasecharacters, find the length of the longest substring without repeating characters.  Input: s = ""geeksforgeeks""Output: 7Explanation: The longest substrings without repeating characters are ""eksforg” and ""ksforge"", with lengths of 7.Input: s = ""aaa""Output: 1Explanation: The longest substring without repeating characters is ""a""Input:s = ""abcdefabcbb""Output:6Explanation:The longest substring without repeating characters is ""abcdef"".  Input: s = ""geeksforgeeks""Output: 7Explanation: The longest substrings without repeating characters are ""eksforg” and ""ksforge"", with lengths of 7.  Input: s = ""aaa""Output: 1Explanation: The longest substring without repeating characters is ""a""  Input:s = ""abcdefabcbb""Output:6Explanation:The longest substring without repeating characters is ""abcdef"".  Table of Content  [Naive Approach] Substrings Starting From Every Index - O(26*n) Time and O(1) Space  [Expected Approach 1] Using Sliding Window - O(n) Time and O(1) Space  [Expecte",False
12,Maximum consecutive repeating character in string,String,Unknown,GeeksforGeeks,"18 Feb, 2025","Given a strings, the task is to find themaximum consecutive repeating characterin the string.","Input: s = ""geeekk""Output: eExplanation:character e comes 3 times consecutively which is maximum.Input: s = ""aaaabbcbbb""Output: aExplanation:character a comes 4 times consecutively which is maximum.",30,// C++ program to find the maximum consecutive// repeating character in given string#include<iostream>usingnamespacestd;// function to find out the maximum repeating// character in given stringcharmax,"Given a strings, the task is to find themaximum consecutive repeating characterin the string.  Note:We do not need to consider the overall count, but the count of repeating that appears in one place.  Input: s = ""geeekk""Output: eExplanation:character e comes 3 times consecutively which is maximum.Input: s = ""aaaabbcbbb""Output: aExplanation:character a comes 4 times consecutively which is maximum.  Input: s = ""geeekk""Output: eExplanation:character e comes 3 times consecutively which is maximum.  Input: s = ""aaaabbcbbb""Output: aExplanation:character a comes 4 times consecutively which is maximum.  Table of Content  [Naive Approach] Using Nested Loop  [Expected Approach 1] Optimised Nested Loops  [Expected Approach 2] Using Counter Variable  [Naive Approach] Using Nested Loop  The idea is to use a nested loop approach where the outer loop iterates through each character of the string, and for each character, the inner loop counts the consecutive occurrences of that character by moving for",False
13,Smallest window in a String containing all characters of other String,String,Unknown,GeeksforGeeks,"06 Aug, 2025","Given two stringssandp, the task is to find the smallest substring insthat contains all characters ofp, including duplicates. If no such substring exists, return """". If multiple substrings of the same length are found, return the one with the smallest starting index.","Input:s = ""timetopractice"", p = ""toc""Output:topracExplanation:""toprac"" is the smallest substring in which ""toc"" can be found.Input:s = ""zoomlazapzo"", p = ""oza""Output:apzoExplanation:""apzo"" is the smallest substring in which ""oza"" can be found.",30,"#include<climits>#include<iostream>#include<string>usingnamespacestd;boolhasAllChars(string&sub,string&p){intcount[256]={0};// Count the frequency of each// character in the patternfor(charch:p)count[","Given two stringssandp, the task is to find the smallest substring insthat contains all characters ofp, including duplicates. If no such substring exists, return """". If multiple substrings of the same length are found, return the one with the smallest starting index.  Input:s = ""timetopractice"", p = ""toc""Output:topracExplanation:""toprac"" is the smallest substring in which ""toc"" can be found.Input:s = ""zoomlazapzo"", p = ""oza""Output:apzoExplanation:""apzo"" is the smallest substring in which ""oza"" can be found.  Input:s = ""timetopractice"", p = ""toc""Output:topracExplanation:""toprac"" is the smallest substring in which ""toc"" can be found.  Input:s = ""zoomlazapzo"", p = ""oza""Output:apzoExplanation:""apzo"" is the smallest substring in which ""oza"" can be found.  Table of Content  [Naive Approach] By Generating all the Substrings - O(n^3) time and O(n) space:  [Better Approach] By using Binary Search on Answer - O(n*log(n)) Time and O(1) Space:  [Expected Approach] Using Window Sliding - O(n) Time ",False
14,Group Anagrams Together,String,Unknown,GeeksforGeeks,"23 Jul, 2025","Given an array of wordsarr[], the task is to groups strings that areanagrams. Ananagramis a word or phrase formed by rearranging the letters of another, using all the original letters exactly once.","Input:arr[] = [""act"", ""god"", ""cat"", ""dog"", ""tac""]Output:[[""act"", ""cat"", ""tac""], [""god"", ""dog""]]Explanation:There are 2 groups of anagrams ""god"", ""dog"" make group 1. ""act"", ""cat"", ""tac"" make group 2.Input: arr[] = [""listen"", ""silent"", ""enlist"", ""abc"", ""cab"", ""bac"", ""rat"", ""tar"", ""art""]Output: [[""abc"", ""cab"", ""bac""], [""listen"", ""silent"", ""enlist""],[""rat"", ""tar"", ""art""]]Explanation:Group 1: ""abc"", ""bac"" and ""cab"" are anagrams.Group 2: ""listen"", ""silent"" and ""enlist"" are anagrams.Group 3: ""rat"", ""ta",10,// C++ Code to group anagrams together by using frequency// as keys#include<bits/stdc++.h>usingnamespacestd;constintMAX_CHAR=26;// function to generate hash of word sstringgetHash(string&s){stringhash,"Given an array of wordsarr[], the task is to groups strings that areanagrams. Ananagramis a word or phrase formed by rearranging the letters of another, using all the original letters exactly once.  Input:arr[] = [""act"", ""god"", ""cat"", ""dog"", ""tac""]Output:[[""act"", ""cat"", ""tac""], [""god"", ""dog""]]Explanation:There are 2 groups of anagrams ""god"", ""dog"" make group 1. ""act"", ""cat"", ""tac"" make group 2.Input: arr[] = [""listen"", ""silent"", ""enlist"", ""abc"", ""cab"", ""bac"", ""rat"", ""tar"", ""art""]Output: [[""abc"", ""cab"", ""bac""], [""listen"", ""silent"", ""enlist""],[""rat"", ""tar"", ""art""]]Explanation:Group 1: ""abc"", ""bac"" and ""cab"" are anagrams.Group 2: ""listen"", ""silent"" and ""enlist"" are anagrams.Group 3: ""rat"", ""tar"" and ""art"" are anagrams.  Input:arr[] = [""act"", ""god"", ""cat"", ""dog"", ""tac""]Output:[[""act"", ""cat"", ""tac""], [""god"", ""dog""]]Explanation:There are 2 groups of anagrams ""god"", ""dog"" make group 1. ""act"", ""cat"", ""tac"" make group 2.  Input: arr[] = [""listen"", ""silent"", ""enlist"", ""abc"", ""cab"", ""bac"", ""rat"",",False
15,Sentence Palindrome,String,Unknown,GeeksforGeeks,"14 Jul, 2025","Given a sentences, determine whether it is apalindrome sentenceor not. A palindrome sentence is a sequence of characters that reads the same forward and backward after:","Input:s = ""Too hot to hoot.""Output:trueExplanation: If we remove all non-alphanumeric characters and convert all uppercase letters to lowercase, string s will become ""toohottohoot"" which is a palindrome.Input:s = ""Abc 012..##  10cbA""Output: trueExplanation:If we remove all non-alphanumeric characters and convert all uppercase letters to lowercase, string s will become ""abc01210cba"" which is a palindrome.Input:s = ""ABC $. def01ASDF..""Output:falseExplanation:If we remove all non-alphanumeric chara",22,"#include<algorithm>#include<iostream>usingnamespacestd;boolisPalinSent(string&s){// create a new string having only// alphanumeric charactersstrings1="""";for(charch:s){if(isalnum(ch)){s1.push_back(tolo","Given a sentences, determine whether it is apalindrome sentenceor not. A palindrome sentence is a sequence of characters that reads the same forward and backward after:  Converting all uppercase letters to lowercase.  Removing all non-alphanumeric characters (i.e., ignore spaces, punctuation, and symbols).  Input:s = ""Too hot to hoot.""Output:trueExplanation: If we remove all non-alphanumeric characters and convert all uppercase letters to lowercase, string s will become ""toohottohoot"" which is a palindrome.Input:s = ""Abc 012..##  10cbA""Output: trueExplanation:If we remove all non-alphanumeric characters and convert all uppercase letters to lowercase, string s will become ""abc01210cba"" which is a palindrome.Input:s = ""ABC $. def01ASDF..""Output:falseExplanation:If we remove all non-alphanumeric characters and convert all uppercase letters to lowercase, string s will become ""abcdef01asdf"" which is not a palindrome.  Input:s = ""Too hot to hoot.""Output:trueExplanation: If we remove all non-",False
16,Longest Palindromic Substring,String,Unknown,GeeksforGeeks,"03 Oct, 2025","Given a strings, find the longest substring which is a palindrome. If there are multiple answers, then find the first appearing substring.","Input:s = ""forgeeksskeegfor""Output:""geeksskeeg""Explanation:The longest substring that reads the same forward and backward is ""geeksskeeg"". Other palindromes like ""kssk"" or ""eeksskee"" are shorter.Input:s = ""Geeks""Output:""ee""Explanation:The substring ""ee"" is the longest palindromic part in ""Geeks"". All others are shorter single characters.Input:s = ""abc""Output:""a""Explanation:No multi-letter palindromes exist. So the first character ""a"" is returned as the longest palindromic substring.",40,"#include<iostream>usingnamespacestd;// function to check if a substring// s[low..high] is a palindromeboolcheckPal(string&s,intlow,inthigh){while(low<high){if(s[low]!=s[high])returnfalse;low++;high--;","Given a strings, find the longest substring which is a palindrome. If there are multiple answers, then find the first appearing substring.  Input:s = ""forgeeksskeegfor""Output:""geeksskeeg""Explanation:The longest substring that reads the same forward and backward is ""geeksskeeg"". Other palindromes like ""kssk"" or ""eeksskee"" are shorter.Input:s = ""Geeks""Output:""ee""Explanation:The substring ""ee"" is the longest palindromic part in ""Geeks"". All others are shorter single characters.Input:s = ""abc""Output:""a""Explanation:No multi-letter palindromes exist. So the first character ""a"" is returned as the longest palindromic substring.  Input:s = ""forgeeksskeegfor""Output:""geeksskeeg""Explanation:The longest substring that reads the same forward and backward is ""geeksskeeg"". Other palindromes like ""kssk"" or ""eeksskee"" are shorter.  Input:s = ""Geeks""Output:""ee""Explanation:The substring ""ee"" is the longest palindromic part in ""Geeks"". All others are shorter single characters.  Input:s = ""abc""Output:""a""Exp",False
17,Palindrome Substrings Count,String,Unknown,GeeksforGeeks,"29 Aug, 2025","Given a strings, find the total number of palindromic substrings of length greater than or equal to 2 present in the string.A substring is palindromic if it reads the same forwards and backwards.","Input: s = ""abaab""Output: 3Explanation: Palindromic substrings with length greater than 1, are ""aba"", ""aa"", and ""baab"".Input: s = ""aaa""Output: 3Explanation: Palindromic substrings with length greater than 1, are ""aa"" , ""aa"" , ""aaa"" .Input: s = ""abbaeae""Output: 4Explanation: Palindromic substrings with length greater than 1, are ""bb"" , ""abba"" , ""aea"", ""eae"".",30,// C++ program to count all palindromic substring of// given string by generating all possible substrings#include<iostream>#include<string>usingnamespacestd;// Function to check if a substring// s[i..,"Given a strings, find the total number of palindromic substrings of length greater than or equal to 2 present in the string.A substring is palindromic if it reads the same forwards and backwards.  Input: s = ""abaab""Output: 3Explanation: Palindromic substrings with length greater than 1, are ""aba"", ""aa"", and ""baab"".Input: s = ""aaa""Output: 3Explanation: Palindromic substrings with length greater than 1, are ""aa"" , ""aa"" , ""aaa"" .Input: s = ""abbaeae""Output: 4Explanation: Palindromic substrings with length greater than 1, are ""bb"" , ""abba"" , ""aea"", ""eae"".  Input: s = ""abaab""Output: 3Explanation: Palindromic substrings with length greater than 1, are ""aba"", ""aa"", and ""baab"".  Input: s = ""aaa""Output: 3Explanation: Palindromic substrings with length greater than 1, are ""aa"" , ""aa"" , ""aaa"" .  Input: s = ""abbaeae""Output: 4Explanation: Palindromic substrings with length greater than 1, are ""bb"" , ""abba"" , ""aea"", ""eae"".  Table of Content  [Naive Approach] By Generating All Possible Substrings - O(",False
18,Unknown,Searching and Sorting,Unknown,GeeksforGeeks,,Error: Article not found,,0,,,False
19,Unknown,Searching and Sorting,Unknown,GeeksforGeeks,,Error: Article not found,,0,,,False
20,Unknown,Searching and Sorting,Unknown,GeeksforGeeks,,Error: Article not found,,0,,,False
21,Unknown,Searching and Sorting,Unknown,GeeksforGeeks,,Error: Article not found,,0,,,False
22,Unknown,Searching and Sorting,Unknown,GeeksforGeeks,,Error: Article not found,,0,,,False
23,Unknown,Searching and Sorting,Unknown,GeeksforGeeks,,Error: Article not found,,0,,,False
24,Unknown,Searching and Sorting,Unknown,GeeksforGeeks,,Error: Article not found,,0,,,False
25,Unknown,Searching and Sorting,Unknown,GeeksforGeeks,,Error: Article not found,,0,,,False
26,Unknown,Hashing,Unknown,GeeksforGeeks,,Error: Article not found,,0,,,False
27,Unknown,Hashing,Unknown,GeeksforGeeks,,Error: Article not found,,0,,,False
28,Unknown,Hashing,Unknown,GeeksforGeeks,,Error: Article not found,,0,,,False
29,Unknown,Hashing,Unknown,GeeksforGeeks,,Error: Article not found,,0,,,False
30,Reverse a Linked List,Linked List,Unknown,GeeksforGeeks,"30 Aug, 2025","Given theheadof a linked list, reverse the list and return the new head.",Input:Output: 5 -> 4 -> 3 -> 2 -> 1,39,"#include<iostream>usingnamespacestd;classNode{public:intdata;Node*next;Node(intnew_data){data=new_data;next=nullptr;}};Node*reverseList(Node*head){Node*curr=head,*prev=nullptr,*next;// Traverse all th","Given theheadof a linked list, reverse the list and return the new head.  Input:Output: 5 -> 4 -> 3 -> 2 -> 1  Output: 5 -> 4 -> 3 -> 2 -> 1  Table of Content  [Approach] Using Iterative Method  [Alternate Approach 1] Using Recursion Method  [Alternate Approach 2] Using Stack  [Approach] Using Iterative Method - O(n) Time and O(1) Space  The idea is to reverse the linked list by changing the direction of links using three pointers: prev, curr, and next. At each step, point the current node to its previous node and then move all three pointers forward until the list is fully reversed.  The idea is to reverse the linked list by changing the direction of links using three pointers: prev, curr, and next. At each step, point the current node to its previous node and then move all three pointers forward until the list is fully reversed.  Step Step By Implementations:  Initialize three pointers prev as NULL, curr as head, and next as NULL.  Iterate through the linked list. In a loop, do the f",False
31,Detect Cycle in Linked List,Linked List,Unknown,GeeksforGeeks,"28 Aug, 2025","Given the head of a singly linked list, determine whether the list contains a cycle.","Input: head: 1 -> 3 -> 4 -> 3Output: trueExplanation:The last node of the linked list does not point to NULL; instead, it points to an earlier node in the list, creating a cycle.Input:head: 1 -> 8 -> 3 -> 4 -> NULLOutput: falseExplanation:The last node of the linked list points to NULL, indicating the end of the list.",22,#include<iostream>#include<unordered_set>usingnamespacestd;classNode{public:intdata;Node*next;Node(intx){this->data=x;this->next=nullptr;}};booldetectLoop(Node*head){unordered_set<Node*>st;while(head!,"Given the head of a singly linked list, determine whether the list contains a cycle.  A cycle exists if, while traversing the list through next pointers, you encounter a node that has already been visited instead of eventually reaching nullptr.  Input: head: 1 -> 3 -> 4 -> 3Output: trueExplanation:The last node of the linked list does not point to NULL; instead, it points to an earlier node in the list, creating a cycle.Input:head: 1 -> 8 -> 3 -> 4 -> NULLOutput: falseExplanation:The last node of the linked list points to NULL, indicating the end of the list.  Input: head: 1 -> 3 -> 4 -> 3Output: true  Explanation:The last node of the linked list does not point to NULL; instead, it points to an earlier node in the list, creating a cycle.  Input:head: 1 -> 8 -> 3 -> 4 -> NULLOutput: false  Explanation:The last node of the linked list points to NULL, indicating the end of the list.  Table of Content  [Naive Approach] Using HashSet - O(n) Time and O(n) Space  [Expected Approach] Using Flo",False
32,Merge two sorted linked lists,Linked List,Unknown,GeeksforGeeks,"30 Aug, 2025","Given theheadsof two sorted linked lists, merge them into a single sorted linked list and return the head of the merged list.","Input:Output:2 -> 3 -> 5 -> 10 -> 15 -> 20 -> 40Explanation:Merging two sorted lists [5, 10, 15, 40] and [2, 3, 20] in order gives 2 -> 3 -> 5 -> 10 -> 15 -> 20 -> 40.Input:Output:1 -> 1 -> 2 -> 4Explanation:Merging [1 ,1] and [2, 4] in order gives 1 -> 1 -> 2 -> 4.",37,"#include<iostream>#include<vector>#include<algorithm>usingnamespacestd;classNode{public:intdata;Node*next;Node(intx){data=x;next=nullptr;}};Node*sortedMerge(Node*head1,Node*head2){vector<int>arr;// pu","Given theheadsof two sorted linked lists, merge them into a single sorted linked list and return the head of the merged list.  Input:Output:2 -> 3 -> 5 -> 10 -> 15 -> 20 -> 40Explanation:Merging two sorted lists [5, 10, 15, 40] and [2, 3, 20] in order gives 2 -> 3 -> 5 -> 10 -> 15 -> 20 -> 40.Input:Output:1 -> 1 -> 2 -> 4Explanation:Merging [1 ,1] and [2, 4] in order gives 1 -> 1 -> 2 -> 4.  Output:2 -> 3 -> 5 -> 10 -> 15 -> 20 -> 40Explanation:Merging two sorted lists [5, 10, 15, 40] and [2, 3, 20] in order gives 2 -> 3 -> 5 -> 10 -> 15 -> 20 -> 40.  Output:1 -> 1 -> 2 -> 4Explanation:Merging [1 ,1] and [2, 4] in order gives 1 -> 1 -> 2 -> 4.  Table of Content  [Naive Approach] By Using Array - O((n+m) × log(n+m)) Time and O(n+m) Space  [Better Approach] Using Recursive Merge - O(n+m) Time and O(n+m) Space  [Efficient Approach] Using Iterative Merge - O(n+m) Time and O(1) Space  [Naive Approach] By Using Array - O((n+m) × log(n+m)) Time and O(n+m) Space  The idea is to use an array to",False
33,Merge K sorted linked lists,Linked List,Unknown,GeeksforGeeks,"26 Aug, 2025","Givenksorted linked lists of different sizes, we need to merge them into a single list while maintaining their sorted order.",Input:Output:Explanation:Merged lists in a sorted order where every element is greater than the previous element.Input:Output:,35,"#include<iostream>#include<vector>usingnamespacestd;classNode{public:intdata;Node*next;Node(intx){data=x;next=nullptr;}};// Function to merge only 2 listsNode*mergeTwo(Node*head1,Node*head2){// Create","Givenksorted linked lists of different sizes, we need to merge them into a single list while maintaining their sorted order.  Input:Output:Explanation:Merged lists in a sorted order where every element is greater than the previous element.Input:Output:  Explanation:Merged lists in a sorted order where every element is greater than the previous element.  Table of Content  [Naive Approach - 1] - By Merging List One by One  [Naive Approach - 2] - By repeatedly selecting the minimum node  [Expected Approach - 1] - Using Min Heap (Works better for unequal sized lists)  [Expected Approach - 2] - Using Divide and Conquer (Works better for equal sized lists)  [Naive Approach - 1] - By Merging List One by One  The idea is to initialize the result as empty. Now one by one merge every linked list into the resultant list using the idea ofmerging two sorted linked lists. We always consider the result as first list and other list as second. At the end, we return result.  The idea is to initialize th",False
34,Remove Nth node from end of the Linked List,Linked List,Unknown,GeeksforGeeks,"04 Sep, 2024",Given a linked list. The task is toremovetheNthnode from theendof the linked list.,"Input :LinkedList = 1 ->2 ->3 ->4 ->5 , N = 2Output :1 ->2 ->3 ->5Explanation:Linked list after deleting the 2nd node from last which is 4, is 1 ->2 ->3 ->5Input :LinkedList = 7 ->8 ->4 ->3 ->2 , N = 1Output :7 ->8 ->4 ->3Explanation:Linked list after deleting the 1st node from last which is 2, is 7 ->8 ->4 ->3",24,// C++ program to delete nth node from last#include<iostream>usingnamespacestd;classNode{public:intdata;Node*next;Node(intnew_data){data=new_data;next=nullptr;}};// Function to remove the Nth node fro,"Given a linked list. The task is toremovetheNthnode from theendof the linked list.  Input :LinkedList = 1 ->2 ->3 ->4 ->5 , N = 2Output :1 ->2 ->3 ->5Explanation:Linked list after deleting the 2nd node from last which is 4, is 1 ->2 ->3 ->5Input :LinkedList = 7 ->8 ->4 ->3 ->2 , N = 1Output :7 ->8 ->4 ->3Explanation:Linked list after deleting the 1st node from last which is 2, is 7 ->8 ->4 ->3  Input :LinkedList = 1 ->2 ->3 ->4 ->5 , N = 2Output :1 ->2 ->3 ->5Explanation:Linked list after deleting the 2nd node from last which is 4, is 1 ->2 ->3 ->5  Input :LinkedList = 7 ->8 ->4 ->3 ->2 , N = 1Output :7 ->8 ->4 ->3Explanation:Linked list after deleting the 1st node from last which is 2, is 7 ->8 ->4 ->3  Table of Content  [Expected Approach - 1] Find Equivalent node from Front - O(n) Time and O(1) Space  [Expected Approach - 2] Using Fast and Slow Pointer - O(n) Time and O(1) Space  [Expected Approach - 1] Find Equivalent node from Front - O(n) Time and O(1) Space:  To remove theNthnod",False
35,Unknown,Linked List,Unknown,GeeksforGeeks,,Error: Article not found,,0,,,False
36,Add 1 to a number represented as linked list,Linked List,Unknown,GeeksforGeeks,"10 Sep, 2024",Anumberis represented inlinked listsuch that each digit corresponds to a node in linked list. The task is toadd1 to it.,Input: head:4 -> 5 -> 6Output:head:4 -> 5 -> 7Explanation:Adding 1 to number represented by Linked List = 456 + 1 = 457Input:head: 2 -> 1 -> 6 -> 9Output:head:2 -> 1 -> 7 -> 0Explanation:Adding 1 to number represented by Linked List = 2169 + 1 = 2170,24,// C++ program to add one to a linked list#include<iostream>usingnamespacestd;classNode{public:intdata;Node*next;Node(intx){data=x;next=nullptr;}};// Recursively add 1 from end to beginning and return,"Anumberis represented inlinked listsuch that each digit corresponds to a node in linked list. The task is toadd1 to it.  Input: head:4 -> 5 -> 6Output:head:4 -> 5 -> 7Explanation:Adding 1 to number represented by Linked List = 456 + 1 = 457Input:head: 2 -> 1 -> 6 -> 9Output:head:2 -> 1 -> 7 -> 0Explanation:Adding 1 to number represented by Linked List = 2169 + 1 = 2170  Input: head:4 -> 5 -> 6Output:head:4 -> 5 -> 7Explanation:Adding 1 to number represented by Linked List = 456 + 1 = 457  Input:head: 2 -> 1 -> 6 -> 9Output:head:2 -> 1 -> 7 -> 0Explanation:Adding 1 to number represented by Linked List = 2169 + 1 = 2170  Table of Content  [Expected Approach - 1] Using Recursive Method - O(n) Time and O(n) Space  [Expected Approach - 2] Using Iterative Method - O(n) Time and O(1) Space  [Expected Approach - 1] Using Recursive Method - O(n) Time and O(n) Space:  The  idea is torecursivelytraverse the linked list, reaching thelast node first. This ensures that theleast significant digitis p",False
37,Clone a Linked List with Random Pointer,Linked List,Unknown,GeeksforGeeks,"02 Sep, 2025",Given aheadof linked list where each node has two links:next pointerpointing to the next node andrandom pointerto any random node in the list. Create a clone of this linked list.,"The idea is to create a new node corresponding to each node in the original linked list and store the new nodes in a hash table. Now, again traverse the original linked list and update the next and random pointers of new nodes corresponding to every original node.",22,"#include<iostream>#include<unordered_map>usingnamespacestd;classNode{public:intdata;Node*next;Node*random;Node(intx){data=x;next=random=NULL;}};Node*cloneLinkedList(Node*head){unordered_map<Node*,Node","Given aheadof linked list where each node has two links:next pointerpointing to the next node andrandom pointerto any random node in the list. Create a clone of this linked list.  Table of Content  [Naive Approach -  1] Using Hashing - O(n) Time and O(n) Space  [Naive Approach -  2] Using Hashing and Recursion- O(n) Time and O(n) Space  [Expected Approach] By Inserting Nodes In-place - O(n) Time and O(1) Space  [Naive Approach - 1] Using Hashing - O(n) Time and O(n) Space  The idea is to create a new node corresponding to each node in the original linked list and store the new nodes in a hash table. Now, again traverse the original linked list and update the next and random pointers of new nodes corresponding to every original node.  The idea is to create a new node corresponding to each node in the original linked list and store the new nodes in a hash table. Now, again traverse the original linked list and update the next and random pointers of new nodes corresponding to every origin",False
38,Infix to Postfix Expression,"Stack, Queue & Deque",Unknown,GeeksforGeeks,"15 Sep, 2025","Given a stringsrepresenting an infix expression (""operand1 operator operand2"" ), Convert it into its postfix notation (""operand1 operand2 operator"").","Input:s = ""a*(b+c)/d""Output:abc+*d/Explanation:The expression is a * (b + c) / d. First, inside the brackets, b + c becomes bc+. Now the expression looks like a * (bc+) / d. Next, multiply a with (bc+), so it becomes abc+* . Finally, divide this result by d, so it becomes abc+*d/.Input:s = ""a+b*c+d""Output:abc*+d+Explanation:The expression a + b * c + d is converted by first doing b * c → bc*, then adding a → abc*+, and finally adding d → abc*+d+.",12,#include<iostream>#include<stack>usingnamespacestd;// Function to return precedence of operatorsintprec(charc){if(c=='^')return3;elseif(c=='/'||c=='*')return2;elseif(c=='+'||c=='-')return1;elsereturn-,"Given a stringsrepresenting an infix expression (""operand1 operator operand2"" ), Convert it into its postfix notation (""operand1 operand2 operator"").  Note:The precedence order is as follows: (^) has the highest precedence and is evaluated from right to left, (* and /) come next with left to right associativity, and (+ and -) have the lowest precedence with left to right associativity.  Input:s = ""a*(b+c)/d""Output:abc+*d/Explanation:The expression is a * (b + c) / d. First, inside the brackets, b + c becomes bc+. Now the expression looks like a * (bc+) / d. Next, multiply a with (bc+), so it becomes abc+* . Finally, divide this result by d, so it becomes abc+*d/.Input:s = ""a+b*c+d""Output:abc*+d+Explanation:The expression a + b * c + d is converted by first doing b * c → bc*, then adding a → abc*+, and finally adding d → abc*+d+.  Input:s = ""a*(b+c)/d""Output:abc+*d/Explanation:The expression is a * (b + c) / d. First, inside the brackets, b + c becomes bc+. Now the expression looks like",False
39,Next Greater Element in Array,"Stack, Queue & Deque",Unknown,GeeksforGeeks,"10 Sep, 2025","Given an arrayarr[]of integers, determine theNext Greater Element(NGE) for every element in the array, maintaining the order of appearance.","Input: arr[] = [1, 3, 2, 4]Output: [3, 4, 4, -1]Explanation: The next larger element to 1 is 3, 3 is 4, 2 is 4 and for 4, since it doesn't exist, it is -1.Input: arr[] = [6, 8, 0, 1, 3]Output: [8, -1, 1, 3, -1]Explanation: The next larger element to 6 is 8, for 8 there is no larger elements hence it is -1, for 0 it is 1 , for 1 it is 3 and then for 3 there is no larger element on right and hence -1.",20,"#include<iostream>#include<vector>usingnamespacestd;vector<int>nextLargerElement(vector<int>&arr){intn=arr.size();vector<int>res(n,-1);// iterate through each element in the arrayfor(inti=0;i<n;i++){/","Given an arrayarr[]of integers, determine theNext Greater Element(NGE) for every element in the array, maintaining the order of appearance.  The Next Greater Element for an element x is defined as the first element to the right of x in the array that is strictly greater than x.  If no such element exists for an element, its Next Greater Element is -1.  Input: arr[] = [1, 3, 2, 4]Output: [3, 4, 4, -1]Explanation: The next larger element to 1 is 3, 3 is 4, 2 is 4 and for 4, since it doesn't exist, it is -1.Input: arr[] = [6, 8, 0, 1, 3]Output: [8, -1, 1, 3, -1]Explanation: The next larger element to 6 is 8, for 8 there is no larger elements hence it is -1, for 0 it is 1 , for 1 it is 3 and then for 3 there is no larger element on right and hence -1.  Input: arr[] = [1, 3, 2, 4]Output: [3, 4, 4, -1]Explanation: The next larger element to 1 is 3, 3 is 4, 2 is 4 and for 4, since it doesn't exist, it is -1.  Input: arr[] = [6, 8, 0, 1, 3]Output: [8, -1, 1, 3, -1]Explanation: The next larger ",False
40,Largest Rectangular Area in a Histogram,"Stack, Queue & Deque",Unknown,GeeksforGeeks,"15 Sep, 2025","Given an arrayarr[]representing a histogram, where each element denotes the height of a bar and every bar has a uniform width of 1 unit, find the largest rectangular area that can be formed within the histogram. The rectangle must be formed using contiguous bars.","Input:arr[] = [60, 20, 50, 40, 10, 50, 60]Output:100Explanation: We get the maximum area by picking bars highlighted above in green (50, and 60). The area is computed (smallest height) * (no. of the picked bars) = 50 * 2 = 100.Input:arr[] = [3, 5, 1, 7, 5, 9]Output:15Explanation:  We get the maximum are by picking bars 7, 5 and 9. The area is computed (smallest height) * (no. of the picked bars) = 5 * 3 = 15.",36,"#include<iostream>#include<vector>usingnamespacestd;intgetMaxArea(vector<int>&arr){intres=0,n=arr.size();// Consider every bar one by onefor(inti=0;i<n;i++){intcurr=arr[i];// Traverse left while we ha","Given an arrayarr[]representing a histogram, where each element denotes the height of a bar and every bar has a uniform width of 1 unit, find the largest rectangular area that can be formed within the histogram. The rectangle must be formed using contiguous bars.  Input:arr[] = [60, 20, 50, 40, 10, 50, 60]Output:100Explanation: We get the maximum area by picking bars highlighted above in green (50, and 60). The area is computed (smallest height) * (no. of the picked bars) = 50 * 2 = 100.Input:arr[] = [3, 5, 1, 7, 5, 9]Output:15Explanation:  We get the maximum are by picking bars 7, 5 and 9. The area is computed (smallest height) * (no. of the picked bars) = 5 * 3 = 15.  Input:arr[] = [60, 20, 50, 40, 10, 50, 60]Output:100Explanation: We get the maximum area by picking bars highlighted above in green (50, and 60). The area is computed (smallest height) * (no. of the picked bars) = 50 * 2 = 100.  Input:arr[] = [3, 5, 1, 7, 5, 9]Output:15Explanation:  We get the maximum are by picking bar",False
